full_size_dir,unity_resize_dir,width,height,cosine_similarity
D:\vae_test_set\1920x1080\images\24973.jpg,D:\vae_test_set\1920x1080\64x64\24973.jpg,1920,1080,0.9997833340689485
D:\vae_test_set\1920x1080\images\7853.jpg,D:\vae_test_set\1920x1080\64x64\7853.jpg,1920,1080,0.9997631605497028
D:\vae_test_set\1920x1080\images\6743.jpg,D:\vae_test_set\1920x1080\64x64\6743.jpg,1920,1080,0.9997565008446782
D:\vae_test_set\1920x1080\images\9569.jpg,D:\vae_test_set\1920x1080\64x64\9569.jpg,1920,1080,0.9997745737436158
D:\vae_test_set\1920x1080\images\7140.jpg,D:\vae_test_set\1920x1080\64x64\7140.jpg,1920,1080,0.9997313582488411
D:\vae_test_set\1920x1080\images\4079.jpg,D:\vae_test_set\1920x1080\64x64\4079.jpg,1920,1080,0.9996483753836379
D:\vae_test_set\1920x1080\images\6531.jpg,D:\vae_test_set\1920x1080\64x64\6531.jpg,1920,1080,0.9998105072419962
D:\vae_test_set\1920x1080\images\26285.jpg,D:\vae_test_set\1920x1080\64x64\26285.jpg,1920,1080,0.9998116264050518
D:\vae_test_set\1920x1080\images\23238.jpg,D:\vae_test_set\1920x1080\64x64\23238.jpg,1920,1080,0.9998008339993938
D:\vae_test_set\1920x1080\images\26179.jpg,D:\vae_test_set\1920x1080\64x64\26179.jpg,1920,1080,0.9997612904007689
D:\vae_test_set\1920x1080\images\9702.jpg,D:\vae_test_set\1920x1080\64x64\9702.jpg,1920,1080,0.9998044514692763
D:\vae_test_set\1920x1080\images\15411.jpg,D:\vae_test_set\1920x1080\64x64\15411.jpg,1920,1080,0.999830207331927
D:\vae_test_set\1920x1080\images\5928.jpg,D:\vae_test_set\1920x1080\64x64\5928.jpg,1920,1080,0.9997640949010178
D:\vae_test_set\1920x1080\images\10176.jpg,D:\vae_test_set\1920x1080\64x64\10176.jpg,1920,1080,0.9997256157664907
D:\vae_test_set\1920x1080\images\13099.jpg,D:\vae_test_set\1920x1080\64x64\13099.jpg,1920,1080,0.9997891801259545
D:\vae_test_set\1920x1080\images\19786.jpg,D:\vae_test_set\1920x1080\64x64\19786.jpg,1920,1080,0.9997858507720925
D:\vae_test_set\1920x1080\images\24297.jpg,D:\vae_test_set\1920x1080\64x64\24297.jpg,1920,1080,0.9997277411007834
D:\vae_test_set\1920x1080\images\12489.jpg,D:\vae_test_set\1920x1080\64x64\12489.jpg,1920,1080,0.9996538578598592
D:\vae_test_set\1920x1080\images\26525.jpg,D:\vae_test_set\1920x1080\64x64\26525.jpg,1920,1080,0.9997209203213004
D:\vae_test_set\1920x1080\images\15125.jpg,D:\vae_test_set\1920x1080\64x64\15125.jpg,1920,1080,0.9996952170885562
D:\vae_test_set\1920x1080\images\14719.jpg,D:\vae_test_set\1920x1080\64x64\14719.jpg,1920,1080,0.9995526512405368
D:\vae_test_set\1920x1080\images\28569.jpg,D:\vae_test_set\1920x1080\64x64\28569.jpg,1920,1080,0.9996707912030477
D:\vae_test_set\1920x1080\images\10663.jpg,D:\vae_test_set\1920x1080\64x64\10663.jpg,1920,1080,0.9998061303561552
D:\vae_test_set\1920x1080\images\3067.jpg,D:\vae_test_set\1920x1080\64x64\3067.jpg,1920,1080,0.9997745421879689
D:\vae_test_set\1920x1080\images\28597.jpg,D:\vae_test_set\1920x1080\64x64\28597.jpg,1920,1080,0.9997677978850829
D:\vae_test_set\1920x1080\images\2715.jpg,D:\vae_test_set\1920x1080\64x64\2715.jpg,1920,1080,0.9997159188290049
D:\vae_test_set\1920x1080\images\18253.jpg,D:\vae_test_set\1920x1080\64x64\18253.jpg,1920,1080,0.9997649639090997
D:\vae_test_set\1920x1080\images\26969.jpg,D:\vae_test_set\1920x1080\64x64\26969.jpg,1920,1080,0.9997851296777711
D:\vae_test_set\1920x1080\images\23162.jpg,D:\vae_test_set\1920x1080\64x64\23162.jpg,1920,1080,0.9997317758768354
D:\vae_test_set\1920x1080\images\6492.jpg,D:\vae_test_set\1920x1080\64x64\6492.jpg,1920,1080,0.9997148457953092
D:\vae_test_set\1920x1080\images\4206.jpg,D:\vae_test_set\1920x1080\64x64\4206.jpg,1920,1080,0.999796712610085
D:\vae_test_set\1920x1080\images\15087.jpg,D:\vae_test_set\1920x1080\64x64\15087.jpg,1920,1080,0.9997515618270687
D:\vae_test_set\1920x1080\images\11644.jpg,D:\vae_test_set\1920x1080\64x64\11644.jpg,1920,1080,0.9997583008207364
